training_seed,block_id,target_force_n,fixed_joint_pass,full_joint_pass,difference_joint_pass,fixed_task_success,full_task_success,difference_task_success,fixed_tracking_pass,full_tracking_pass,difference_tracking_pass,fixed_mean_relative_error,full_mean_relative_error,difference_mean_relative_error,fixed_target_normalized_rmse,full_target_normalized_rmse,difference_target_normalized_rmse,fixed_absolute_signed_bias,full_absolute_signed_bias,difference_absolute_signed_bias,fixed_peak_force_n,full_peak_force_n,difference_peak_force_n,fixed_median_planning_ms,full_median_planning_ms,difference_median_planning_ms,fixed_mean_planning_samples,full_mean_planning_samples,difference_mean_planning_samples
201,K1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04865935838797231,0.04796465296280994,-0.0006947054251623674,0.09979651219737629,0.10023589985011665,0.0004393876527403612,0.04865935838797231,0.04796465296280994,-0.0006947054251623674,8.376733779907227,8.320364952087402,-0.05636882781982422,101.09892600007697,73.11555099931866,-27.983375000758315,128.0,115.33105802047781,-12.668941979522188
201,K1,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.19978156307943498,0.12550562093211667,-0.07427594214731831,0.21588575614973812,0.16898055216132438,-0.046905203988413746,0.19978156307943498,0.12550562093211667,-0.07427594214731831,11.058077812194824,12.711495399475098,1.6534175872802734,101.26382449993798,77.39813399984996,-23.86569050008802,128.0,120.78269824922761,-7.217301750772393
201,K2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04702416942965595,0.037977488554559,-0.009046680875096948,0.05708074088844266,0.04953231025906127,-0.007548430629381389,0.04702416942965595,0.037977488554559,-0.009046680875096948,4.921037673950195,5.003686428070068,0.08264875411987305,101.02546849998362,73.03728250008135,-27.98818599990227,128.0,113.86915887850468,-14.130841121495322
201,K2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06048100978506277,0.04831489204258321,-0.012166117742479554,0.10775908172188932,0.0968556143440351,-0.01090346737785422,0.06048100978506277,0.04831489204258321,-0.012166117742479554,8.13578987121582,8.121956825256348,-0.013833045959472656,100.93097899994063,74.3427449997398,-26.588234000200828,128.0,115.17820658342792,-12.821793416572078
201,K2,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.18175397321898887,0.12389416060583569,-0.05785981261315318,0.20210146197595039,0.16475158218618904,-0.03734987978976134,0.18175397321898887,0.12389416060583569,-0.05785981261315318,11.387141227722168,13.095376014709473,1.7082347869873047,101.15212400023665,76.42631599992455,-24.7258080003121,128.0,119.74406604747162,-8.25593395252838
201,P1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07036084903860988,0.03207466549843367,-0.03828618354017621,0.07755501873442988,0.04612090481233893,-0.03143411392209095,0.07036084903860988,0.03207466549843367,-0.03828618354017621,4.8554301261901855,5.038745880126953,0.18331575393676758,101.24396299994487,74.64200050003456,-26.601962499910314,128.0,113.6183908045977,-14.381609195402305
201,P1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06402704824683492,0.042022348041752866,-0.02200470020508205,0.10588384211491272,0.09890332753184249,-0.006980514583070238,0.06402704824683492,0.042022348041752866,-0.02200470020508205,8.120525360107422,8.480703353881836,0.36017799377441406,99.76111299988588,75.35283100014567,-24.40828199974021,128.0,115.33709131905299,-12.662908680947012
201,P1,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.18381359205991496,0.11420727186911812,-0.06960632019079684,0.20343382135330848,0.16298379748359237,-0.040450023869716106,0.18381359205991496,0.11420727186911812,-0.06960632019079684,11.813494682312012,12.892940521240234,1.0794458389282227,100.3346085000203,76.27714600016589,-24.05746249985441,128.0,118.41975308641975,-9.580246913580254
201,P2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07802001856189503,0.05263049980837433,-0.025389518753520697,0.083174870575326,0.05908324295309334,-0.02409162762223265,0.07802001856189503,0.05263049980837433,-0.025389518753520697,4.783526420593262,4.865712642669678,0.08218622207641602,100.73340349993032,73.73130599989963,-27.002097500030686,128.0,112.95787139689578,-15.042128603104217
201,P2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.05891392162145925,0.04462246754235022,-0.014291454079109034,0.09996990977177758,0.09721210835187123,-0.00275780141990635,0.05891392162145925,0.04462246754235022,-0.014291454079109034,8.186491012573242,8.467302322387695,0.2808113098144531,100.66471300001467,75.03519900001265,-25.62951400000202,128.0,114.79089924160347,-13.20910075839653
201,P2,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.16081067599478618,0.13473859021175816,-0.026072085783028026,0.18530992688771764,0.1694609751190446,-0.015848951768673042,0.16081067599478618,0.13473859021175816,-0.026072085783028026,11.755754470825195,12.174965858459473,0.41921138763427734,101.12640299985287,76.91031650006153,-24.216086499791345,128.0,122.24615384615385,-5.753846153846155
